group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_intersects,8,,,1771858001.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1768422064.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1765854589.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1770084070.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1769347897.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1764002151.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758776841.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1761656765.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1768002080.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1772160868.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1767654640.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1770115826.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763490716.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763019391.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1762696955.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1756729902.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1760296597.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763510658.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1771134816.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1765249657.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1762050816.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763605088.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763274028.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763628784.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1761791622.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1765525139.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1770100089.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1757240632.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1761160589.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1764181779.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1765647284.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1760932263.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1761646035.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1759481277.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758005816.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1764837054.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1759713887.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1770112320.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763869528.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1763320988.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1754268927.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1764594362.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1764711173.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758796549.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1759147508.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1760632832.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1760456159.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1761540478.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1757493774.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758788798.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1759267047.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1759500536.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758378910.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1762656730.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1760467607.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758939034.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1756304143.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758214374.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1758834199.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1780811515.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1781168605.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1777785378.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1779297000.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1774145559.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1786737285.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1774476923.0,ns,1
Zig-zag polygon rasterize,geo_intersects,8,,,1776311492.0,ns,1
