group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,1024,,,61087951.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,61216655.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,63216419.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62334954.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,66586397.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60580278.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,67014820.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62662008.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60783891.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60645492.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,63360738.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,61552374.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62503380.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62494943.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62820315.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,61386101.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,62718203.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,61284331.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60726965.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60734078.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60786057.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,61012000.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60744346.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60713358.0,ns,3
Zig-zag polygon rasterize,geo_rasterize,1024,,,60865585.0,ns,3
