group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,32,,,50967241.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51725215.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51578098.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50460209.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50358699.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50179972.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50363287.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50272547.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50305159.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50273899.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50239134.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50358979.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50230749.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50386140.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50143894.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50131092.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50332300.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50926515.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50659524.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50561691.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50369018.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50603208.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,52139214.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,53125565.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50337588.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50379499.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50167779.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50399998.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50264791.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51255683.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,53284394.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50910986.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51049196.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50980548.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51477440.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50673692.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50403804.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50464516.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50410706.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50320107.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51797912.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51219524.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51934408.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50816471.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50484195.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50433449.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50392923.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50400447.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50402942.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,52637340.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,53981193.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50607706.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50467443.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50968262.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50730027.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50678619.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50218926.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50405336.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50384627.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50371943.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50737350.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,52410862.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51427878.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51089050.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49993573.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49921958.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50064267.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49899157.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50025603.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49882665.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,51082618.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50389305.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50328892.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50296060.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50633506.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50485276.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50329794.0,ns,4
