group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,128,,,54069829.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,51236165.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50448398.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50494415.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50642411.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50512178.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50279479.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50215342.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50544347.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50905838.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50682516.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50488944.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,53483557.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50552555.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50919551.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50635921.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50332322.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50339855.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50830965.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,51192775.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,51094069.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50381366.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50437586.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,52318860.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,51543004.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50702818.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,50545671.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,54383957.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,49453418.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,49725230.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,128,,,49489978.0,ns,24
