group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,16,,,1847018.0,ns,1
Zig-zag polygon rasterize,montone_rasterize,16,,,3539265.0,ns,2
Zig-zag polygon rasterize,montone_rasterize,16,,,5450191.0,ns,3
Zig-zag polygon rasterize,montone_rasterize,16,,,7420970.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,8812935.0,ns,5
Zig-zag polygon rasterize,montone_rasterize,16,,,13633513.0,ns,6
Zig-zag polygon rasterize,montone_rasterize,16,,,14669100.0,ns,7
Zig-zag polygon rasterize,montone_rasterize,16,,,14685930.0,ns,8
Zig-zag polygon rasterize,montone_rasterize,16,,,16412251.0,ns,9
Zig-zag polygon rasterize,montone_rasterize,16,,,18236136.0,ns,10
Zig-zag polygon rasterize,montone_rasterize,16,,,20272248.0,ns,11
Zig-zag polygon rasterize,montone_rasterize,16,,,21727679.0,ns,12
Zig-zag polygon rasterize,montone_rasterize,16,,,24093293.0,ns,13
Zig-zag polygon rasterize,montone_rasterize,16,,,25704125.0,ns,14
Zig-zag polygon rasterize,montone_rasterize,16,,,27385161.0,ns,15
Zig-zag polygon rasterize,montone_rasterize,16,,,29123142.0,ns,16
Zig-zag polygon rasterize,montone_rasterize,16,,,32854289.0,ns,17
Zig-zag polygon rasterize,montone_rasterize,16,,,33722847.0,ns,18
Zig-zag polygon rasterize,montone_rasterize,16,,,34455486.0,ns,19
Zig-zag polygon rasterize,montone_rasterize,16,,,36327378.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,16,,,37954153.0,ns,21
Zig-zag polygon rasterize,montone_rasterize,16,,,39706211.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,16,,,42068626.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,16,,,44544413.0,ns,24
Zig-zag polygon rasterize,montone_rasterize,16,,,46422501.0,ns,25
Zig-zag polygon rasterize,montone_rasterize,16,,,47805476.0,ns,26
Zig-zag polygon rasterize,montone_rasterize,16,,,49901740.0,ns,27
Zig-zag polygon rasterize,montone_rasterize,16,,,51393943.0,ns,28
Zig-zag polygon rasterize,montone_rasterize,16,,,53477584.0,ns,29
Zig-zag polygon rasterize,montone_rasterize,16,,,54610550.0,ns,30
Zig-zag polygon rasterize,montone_rasterize,16,,,58898112.0,ns,31
Zig-zag polygon rasterize,montone_rasterize,16,,,57636255.0,ns,32
Zig-zag polygon rasterize,montone_rasterize,16,,,59400182.0,ns,33
Zig-zag polygon rasterize,montone_rasterize,16,,,61017801.0,ns,34
Zig-zag polygon rasterize,montone_rasterize,16,,,63096933.0,ns,35
Zig-zag polygon rasterize,montone_rasterize,16,,,64791585.0,ns,36
Zig-zag polygon rasterize,montone_rasterize,16,,,66441562.0,ns,37
Zig-zag polygon rasterize,montone_rasterize,16,,,68922538.0,ns,38
Zig-zag polygon rasterize,montone_rasterize,16,,,70565875.0,ns,39
Zig-zag polygon rasterize,montone_rasterize,16,,,74522215.0,ns,40
Zig-zag polygon rasterize,montone_rasterize,16,,,75613222.0,ns,41
Zig-zag polygon rasterize,montone_rasterize,16,,,77657279.0,ns,42
Zig-zag polygon rasterize,montone_rasterize,16,,,78423937.0,ns,43
Zig-zag polygon rasterize,montone_rasterize,16,,,80956660.0,ns,44
Zig-zag polygon rasterize,montone_rasterize,16,,,82341110.0,ns,45
Zig-zag polygon rasterize,montone_rasterize,16,,,83774661.0,ns,46
Zig-zag polygon rasterize,montone_rasterize,16,,,86085871.0,ns,47
Zig-zag polygon rasterize,montone_rasterize,16,,,90185949.0,ns,48
Zig-zag polygon rasterize,montone_rasterize,16,,,88615497.0,ns,49
Zig-zag polygon rasterize,montone_rasterize,16,,,91261128.0,ns,50
Zig-zag polygon rasterize,montone_rasterize,16,,,92099300.0,ns,51
